timestamp,Intensity,I/C,Speed_lane1,Speed_lane2,Rainfall,Sight
01/02/2019 00:15,100,0.10,117.7,103.1,0.00,68
01/02/2019 00:30,81,0.08,118.4,104.1,0.00,68
01/02/2019 00:45,55,0.06,116.7,103.9,0.00,68
01/02/2019 01:00,59,0.06,117.8,102.8,0.00,68
01/02/2019 01:15,43,0.04,122.0,112.5,0.00,70
01/02/2019 01:30,36,0.04,,97.9,0.00,70
01/02/2019 01:45,44,0.04,124.0,99.5,0.00,70
01/02/2019 02:00,27,0.03,119.8,93.9,0.00,70
01/02/2019 02:15,24,0.02,110.0,95.1,0.00,70
01/02/2019 02:30,25,0.03,137.7,101.6,0.00,70
01/02/2019 02:45,23,0.02,110.0,104.7,0.00,70
01/02/2019 03:00,31,0.03,90.0,101.6,0.00,70
01/02/2019 03:15,22,0.02,,112.5,0.13,59
01/02/2019 03:30,26,0.03,,92.9,0.13,59
01/02/2019 03:45,22,0.02,,101.2,0.13,59
01/02/2019 04:00,24,0.02,138.0,100.5,0.13,59
01/02/2019 04:15,26,0.03,127.0,103.4,3.25,22
01/02/2019 04:30,25,0.03,,85.5,3.25,22
01/02/2019 04:45,47,0.05,70.4,75.4,3.25,22
01/02/2019 05:00,32,0.03,74.2,69.6,3.25,22
01/02/2019 05:15,38,0.04,68.9,62.3,0.50,57
01/02/2019 05:30,63,0.06,63.9,61.1,0.50,57
01/02/2019 05:45,95,0.10,,62.0,0.50,57
01/02/2019 06:00,102,0.10,63.4,60.2,0.50,57
01/02/2019 06:15,135,0.14,76.9,67.2,0.13,58
01/02/2019 06:30,266,0.27,71.5,60.6,0.13,58
01/02/2019 06:45,411,0.41,75.6,64.5,0.13,58
01/02/2019 07:00,596,0.60,71.1,62.6,0.13,58
01/02/2019 07:15,586,0.59,71.4,62.6,0.13,56
01/02/2019 07:30,659,0.66,74.1,65.8,0.13,56
01/02/2019 07:45,646,0.65,78.2,67.8,0.13,56
01/02/2019 08:00,570,0.57,59.9,58.6,0.13,56
01/02/2019 08:15,410,0.41,45.4,49.4,0.00,38
01/02/2019 08:30,721,0.72,90.5,79.2,0.00,38
01/02/2019 08:45,767,0.77,85.8,75.8,0.00,38
01/02/2019 09:00,648,0.65,91.6,81.1,0.00,38
01/02/2019 09:15,508,0.51,103.3,89.2,0.00,47
01/02/2019 09:30,488,0.49,105.6,92.6,0.00,47
01/02/2019 09:45,528,0.53,100.1,87.8,0.00,47
01/02/2019 10:00,463,0.46,105.7,91.2,0.00,47
01/02/2019 10:15,421,0.42,103.2,92.4,0.00,43
01/02/2019 10:30,449,0.45,103.5,91.2,0.00,43
01/02/2019 10:45,441,0.44,102.9,90.5,0.00,43
01/02/2019 11:00,475,0.48,106.0,91.6,0.00,43
01/02/2019 11:15,452,0.45,106.3,91.3,0.00,29
01/02/2019 11:30,505,0.51,104.2,90.6,0.00,29
01/02/2019 11:45,484,0.48,105.2,91.8,0.00,29
01/02/2019 12:00,470,0.47,104.9,92.4,0.00,29
01/02/2019 12:15,453,0.45,105.5,92.9,0.00,15
01/02/2019 12:30,551,0.55,106.2,91.2,0.00,15
01/02/2019 12:45,569,0.57,103.9,90.5,0.00,15
01/02/2019 13:00,558,0.56,95.5,81.4,0.00,15
01/02/2019 13:15,501,0.50,103.9,91.5,0.00,34
01/02/2019 13:30,564,0.56,104.4,90.8,0.00,34
01/02/2019 13:45,584,0.58,103.3,90.1,0.00,34
01/02/2019 14:00,605,0.61,105.4,89.8,0.00,34
01/02/2019 14:15,421,0.42,104.2,90.8,0.50,28
01/02/2019 14:30,616,0.62,105.0,92.4,0.50,28
01/02/2019 14:45,725,0.73,101.3,89.3,0.50,28
01/02/2019 15:00,634,0.63,105.6,91.9,0.50,28
01/02/2019 15:15,663,0.66,102.4,89.8,0.75,32
01/02/2019 15:30,670,0.67,103.5,90.5,0.75,32
01/02/2019 15:45,736,0.74,101.0,89.1,0.75,32
01/02/2019 16:00,846,0.85,98.1,87.0,0.75,32
01/02/2019 16:15,780,0.78,77.9,63.7,0.00,43
01/02/2019 16:30,816,0.82,67.0,59.4,0.00,43
01/02/2019 16:45,765,0.77,97.3,85.6,0.00,43
01/02/2019 17:00,744,0.74,101.8,89.8,0.00,43
01/02/2019 17:15,719,0.72,104.0,92.1,0.00,50
01/02/2019 17:30,783,0.78,100.9,88.6,0.00,50
01/02/2019 17:45,729,0.73,102.9,90.6,0.00,50
01/02/2019 18:00,716,0.72,104.4,90.2,0.00,50
01/02/2019 18:15,587,0.59,103.9,88.4,0.00,57
01/02/2019 18:30,610,0.61,103.6,89.7,0.00,57
01/02/2019 18:45,539,0.54,106.8,92.2,0.00,57
