timestamp,Intensity,I/C,Speed_lane1,Speed_lane2,Rainfall,Sight,Date Time,Month,Weekday,Day,Weekend,Quarter,Hour,Minute
01/02/2019 06:00,102,0.1,63.4,60.2,0.5,57,2019-01-02 06:00:00,1,2,2,0,4,6,0
01/02/2019 06:15,135,0.14,76.9,67.2,0.13,58,2019-01-02 06:15:00,1,2,2,0,1,6,15
01/02/2019 06:30,266,0.27,71.5,60.6,0.13,58,2019-01-02 06:30:00,1,2,2,0,2,6,30
01/02/2019 06:45,411,0.41,75.6,64.5,0.13,58,2019-01-02 06:45:00,1,2,2,0,3,6,45
01/02/2019 07:00,596,0.6,71.1,62.6,0.13,58,2019-01-02 07:00:00,1,2,2,0,4,7,0
01/02/2019 07:15,586,0.59,71.4,62.6,0.13,56,2019-01-02 07:15:00,1,2,2,0,1,7,15
01/02/2019 07:30,659,0.66,74.1,65.8,0.13,56,2019-01-02 07:30:00,1,2,2,0,2,7,30
01/02/2019 07:45,646,0.65,78.2,67.8,0.13,56,2019-01-02 07:45:00,1,2,2,0,3,7,45
01/02/2019 08:00,570,0.57,59.9,58.6,0.13,56,2019-01-02 08:00:00,1,2,2,0,4,8,0
01/02/2019 08:15,410,0.41,45.4,49.4,0.0,38,2019-01-02 08:15:00,1,2,2,0,1,8,15
01/02/2019 08:30,721,0.72,90.5,79.2,0.0,38,2019-01-02 08:30:00,1,2,2,0,2,8,30
01/02/2019 08:45,767,0.77,85.8,75.8,0.0,38,2019-01-02 08:45:00,1,2,2,0,3,8,45
01/02/2019 09:00,648,0.65,91.6,81.1,0.0,38,2019-01-02 09:00:00,1,2,2,0,4,9,0
01/02/2019 09:15,508,0.51,103.3,89.2,0.0,47,2019-01-02 09:15:00,1,2,2,0,1,9,15
01/02/2019 09:30,488,0.49,105.6,92.6,0.0,47,2019-01-02 09:30:00,1,2,2,0,2,9,30
01/02/2019 09:45,528,0.53,100.1,87.8,0.0,47,2019-01-02 09:45:00,1,2,2,0,3,9,45
01/02/2019 10:00,463,0.46,105.7,91.2,0.0,47,2019-01-02 10:00:00,1,2,2,0,4,10,0
01/02/2019 10:15,421,0.42,103.2,92.4,0.0,43,2019-01-02 10:15:00,1,2,2,0,1,10,15
01/02/2019 10:30,449,0.45,103.5,91.2,0.0,43,2019-01-02 10:30:00,1,2,2,0,2,10,30
01/02/2019 10:45,441,0.44,102.9,90.5,0.0,43,2019-01-02 10:45:00,1,2,2,0,3,10,45
01/02/2019 11:00,475,0.48,106.0,91.6,0.0,43,2019-01-02 11:00:00,1,2,2,0,4,11,0
01/02/2019 11:15,452,0.45,106.3,91.3,0.0,29,2019-01-02 11:15:00,1,2,2,0,1,11,15
01/02/2019 11:30,505,0.51,104.2,90.6,0.0,29,2019-01-02 11:30:00,1,2,2,0,2,11,30
01/02/2019 11:45,484,0.48,105.2,91.8,0.0,29,2019-01-02 11:45:00,1,2,2,0,3,11,45
01/02/2019 12:00,470,0.47,104.9,92.4,0.0,29,2019-01-02 12:00:00,1,2,2,0,4,12,0
01/02/2019 12:15,453,0.45,105.5,92.9,0.0,15,2019-01-02 12:15:00,1,2,2,0,1,12,15
01/02/2019 12:30,551,0.55,106.2,91.2,0.0,15,2019-01-02 12:30:00,1,2,2,0,2,12,30
01/02/2019 12:45,569,0.57,103.9,90.5,0.0,15,2019-01-02 12:45:00,1,2,2,0,3,12,45
01/02/2019 13:00,558,0.56,95.5,81.4,0.0,15,2019-01-02 13:00:00,1,2,2,0,4,13,0
01/02/2019 13:15,501,0.5,103.9,91.5,0.0,34,2019-01-02 13:15:00,1,2,2,0,1,13,15
